scenario,month,sites,portfolio_pv,portfolio_rev,saas_customers,saas_rev,revenue,cost,net,cash
conservative,1,1,25,0,0.0,0,0,21041,-21040,1478960
conservative,2,1,71,1,0.0,0,1,21041,-21040,1457920
conservative,3,2,175,1,0.0,0,1,21581,-21580,1436340
conservative,4,2,352,3,0.0,0,3,21581,-21578,1414761
conservative,5,3,668,5,0.0,0,5,22122,-22116,1392645
conservative,6,3,1178,9,0.0,0,9,22122,-22112,1370533
conservative,7,4,2003,16,0.0,0,16,22662,-22646,1347886
conservative,8,4,3272,26,0.0,0,26,22662,-22636,1325250
conservative,9,4,5176,41,0.0,0,41,22662,-22621,1302629
conservative,10,4,7949,64,0.0,0,64,22662,-22599,1280030
conservative,11,4,11869,95,0.0,0,95,22662,-22567,1257463
conservative,12,4,17224,138,0.0,0,138,22662,-22525,1234938
conservative,13,4,22113,177,0.0,0,177,5040,-4863,1230075
conservative,14,4,27733,222,0.0,0,222,5040,-4818,1225257
conservative,15,4,33925,271,0.0,0,271,5040,-4769,1220488
conservative,16,4,40463,324,0.0,0,324,5040,-4716,1215772
conservative,17,4,47083,377,0.0,0,377,5040,-4663,1211109
conservative,18,4,53517,428,0.0,0,428,5040,-4612,1206497
conservative,19,4,59531,476,0.0,0,476,5040,-4564,1201933
conservative,20,4,64940,520,0.0,0,520,5040,-4520,1197413
conservative,21,4,69629,557,0.0,0,557,5040,-4483,1192930
conservative,22,4,73555,588,0.0,0,588,5040,-4452,1188478
conservative,23,4,76735,614,0.0,0,614,5040,-4426,1184052
conservative,24,4,79237,634,0.0,0,634,5040,-4406,1179646
conservative,25,4,81157,649,0.0,0,649,5040,-4391,1175255
conservative,26,4,82599,661,0.0,0,661,5040,-4379,1170876
conservative,27,4,83666,669,0.0,0,669,5040,-4371,1166505
conservative,28,4,84444,676,0.0,0,676,5040,-4364,1162141
conservative,29,4,85007,680,0.0,0,680,5040,-4360,1157781
conservative,30,4,85411,683,0.0,0,683,5040,-4357,1153424
conservative,31,4,85699,686,0.0,0,686,5040,-4354,1149070
conservative,32,4,85904,687,0.0,0,687,5040,-4353,1144717
conservative,33,4,86050,688,0.0,0,688,5040,-4352,1140365
conservative,34,4,86153,689,0.0,0,689,5040,-4351,1136014
conservative,35,4,86225,690,0.0,0,690,5040,-4350,1131664
conservative,36,4,86277,690,0.0,0,690,5040,-4350,1127315
base,1,1,130,2,0.0,0,2,35041,-35039,1464961
base,2,2,512,8,0.0,0,8,35581,-35574,1429388
base,3,3,1358,20,0.0,0,20,36122,-36101,1393286
base,4,4,3009,45,0.0,0,45,36662,-36617,1356669
base,5,5,6004,90,0.0,0,90,37203,-37113,1319556
base,6,6,11153,167,0.0,0,167,37744,-37576,1281980
base,7,7,19619,294,0.0,0,294,38284,-37990,1243990
base,8,8,32952,494,0.0,0,494,38825,-38331,1205659
base,9,8,52913,794,0.0,0,794,38825,-38031,1167628
base,10,8,81424,1221,0.0,0,1221,38825,-37603,1130025
base,11,8,120178,1803,0.0,0,1803,38825,-37022,1093003
base,12,8,170254,2554,0.0,0,2554,38825,-36271,1056732
base,13,8,231841,3478,20.0,1980,5458,64260,-58803,997929
base,14,8,304159,4562,41.5,4108,8671,65569,-56898,941031
base,15,8,385551,5783,64.7,6407,12191,67015,-54825,886207
base,16,8,473685,7105,89.9,8901,16006,68617,-52611,833595
base,17,8,565815,8487,117.3,11616,20103,70395,-50292,783303
base,18,8,659092,9886,147.3,14583,24469,72369,-47900,735403
base,19,8,750934,11264,180.1,17834,29098,74565,-45467,689936
base,20,8,839377,12591,216.3,21409,34000,77010,-43010,646926
base,21,8,923276,13849,256.0,25348,39197,79733,-40536,606390
base,22,8,1002288,15034,300.0,29698,44732,82770,-38038,568353
base,23,8,1076678,16150,348.6,34511,50661,86158,-35497,532856
base,24,8,1147062,17206,402.5,39846,57052,89941,-32889,499967
base,25,8,1214179,18213,462.3,45767,63979,94165,-30186,469781
base,26,8,1278746,19181,528.8,52347,71528,98886,-27357,442424
base,27,8,1341381,20121,602.7,59668,79789,104162,-24373,418051
base,28,8,1402587,21039,685.1,67820,88859,110060,-21201,396850
base,29,8,1462751,21941,776.8,76907,98848,116657,-17809,379041
base,30,8,1522164,22832,879.2,87041,109873,124036,-14163,364878
base,31,8,1581041,23716,993.4,98350,122066,132292,-10226,354652
base,32,8,1639537,24593,1121.0,110977,135571,141529,-5959,348693
base,33,8,1697764,25466,1263.5,125083,150550,151867,-1318,347376
base,34,8,1755802,26337,1422.7,140846,167183,163438,3745,351121
base,35,8,1813708,27206,1600.7,158467,185672,176390,9283,360404
base,36,8,1871520,28073,1799.7,178169,206242,190888,15354,375757
optimistic,1,1,479,12,0.0,0,12,35041,-35029,1464971
optimistic,2,2,1958,49,0.0,0,49,35581,-35532,1429439
optimistic,3,4,5837,146,0.0,0,146,36662,-36516,1392923
optimistic,4,6,14182,355,0.0,0,355,37744,-37389,1355534
optimistic,5,8,30349,759,0.0,0,759,38825,-38066,1317468
optimistic,6,10,59448,1486,0.0,0,1486,39906,-38420,1279048
optimistic,7,12,108635,2716,0.0,0,2716,40987,-38271,1240776
optimistic,8,12,185980,4649,0.0,0,4649,40987,-36338,1204439
optimistic,9,12,300441,7511,0.0,0,7511,40987,-33476,1170963
optimistic,10,12,459623,11491,0.0,0,11491,40987,-29497,1141466
optimistic,11,12,667661,16692,0.0,0,16692,40987,-24296,1117170
optimistic,12,12,923575,23089,0.0,0,23089,40987,-17898,1099272
optimistic,13,12,1220682,30517,40.0,3960,34477,93858,-59381,1039891
