article,sample_day,peak_day,peak_views,baseline_median,spike_ratio,is_spike,half_life_days,decay_to_10pct_days,first3day_share,post_peak_days_observed,norm_curve
Pete_Hegseth,2025-01-15,2025-01-25,631497,5747,109.88,True,1,4,0.5126,51,"[1.0, 0.3474, 0.1872, 0.1247, 0.0993, 0.1254, 0.0849, 0.0567, 0.0397, 0.0357, 0.0438, 0.0419, 0.0367, 0.0262, 0.0287, 0.0251, 0.0147, 0.0511, 0.0971, 0.1169, 0.0801, 0.0536, 0.0467, 0.033, 0.0257, 0.0214, 0.0289, 0.0238, 0.0596, 0.038, 0.0306]"
Linda_Nolan,2025-01-15,2025-01-15,205031,367,558.67,True,1,3,0.7049,61,"[1.0, 0.3767, 0.1013, 0.0479, 0.0342, 0.0186, 0.0193, 0.0784, 0.0525, 0.0208, 0.0097, 0.0052, 0.0085, 0.0062, 0.0036, 0.0028, 0.0044, 0.1727, 0.0539, 0.0283, 0.0161, 0.0075, 0.0076, 0.0058, 0.0049, 0.0038, 0.0028, 0.0015, 0.0007, 0.001, 0.0006]"
Kumbh_Mela,2025-01-15,2025-01-14,190245,6533,29.12,True,6,24,0.2744,62,"[1.0, 0.9189, 0.932, 0.9841, 0.7047, 0.5302, 0.3343, 0.2634, 0.2429, 0.2468, 0.2095, 0.229, 0.2269, 0.2901, 0.3392, 0.6354, 0.4142, 0.2818, 0.1974, 0.1802, 0.1539, 0.1278, 0.1392, 0.1106, 0.0955, 0.1023, 0.107, 0.132, 0.1362, 0.1258, 0.1129]"
ASEAN,2025-01-15,2025-01-15,151134,2350,64.3,True,1,3,0.7741,61,"[1.0, 0.321, 0.1321, 0.0652, 0.0514, 0.0393, 0.0302, 0.0251, 0.0244, 0.0149, 0.014, 0.0138, 0.0137, 0.0098, 0.0086, 0.0082, 0.008, 0.0071, 0.0128, 0.0157, 0.0136, 0.0085, 0.0072, 0.0022, 0.0007, 0.0026, 0.0051, 0.0064, 0.0077, 0.0079, 0.0029]"
Game_Changer_(film),2025-01-15,2025-01-11,382104,7508,50.89,True,3,16,0.3904,65,"[1.0, 0.7261, 0.5725, 0.4542, 0.3738, 0.3142, 0.2648, 0.2317, 0.2097, 0.164, 0.1478, 0.1208, 0.1127, 0.12, 0.1118, 0.1051, 0.0937, 0.0846, 0.0814, 0.0702, 0.0557, 0.0541, 0.0525, 0.0454, 0.0415, 0.0327, 0.0291, 0.0732, 0.0758, 0.0681, 0.0432]"
Neil_Gaiman,2025-01-15,2025-01-14,253707,3701,68.55,True,2,6,0.5278,62,"[1.0, 0.5342, 0.2367, 0.1537, 0.1533, 0.1092, 0.0734, 0.0587, 0.0844, 0.0389, 0.0312, 0.0581, 0.0611, 0.0539, 0.0513, 0.0344, 0.0281, 0.0404, 0.081, 0.0456, 0.0366, 0.1985, 0.0634, 0.0265, 0.0157, 0.0276, 0.0154, 0.0238, 0.0115, 0.0082, 0.0076]"
.xxx,2025-01-15,2025-02-26,838747,17185,48.81,True,1,8,0.6362,19,"[1.0, 0.3429, 0.7571, 0.4504, 0.1875, 0.2299, 0.2072, 0.1259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Tony_Slattery,2025-01-15,2025-01-14,305211,450,678.25,True,1,3,0.8141,62,"[1.0, 0.3799, 0.1103, 0.0595, 0.0489, 0.0308, 0.0273, 0.0441, 0.0084, 0.0073, 0.0047, 0.0045, 0.0046, 0.0041, 0.0037, 0.0026, 0.0023, 0.0034, 0.0041, 0.0024, 0.0016, 0.0018, 0.0012, 0.001, 0.0007, 0.0008, 0.0022, 0.0386, 0.0233, 0.0067, 0.0018]"
The_Nolans,2025-01-15,2025-01-15,105023,433,242.55,True,1,3,0.7387,61,"[1.0, 0.3506, 0.1074, 0.058, 0.0374, 0.0178, 0.0205, 0.0145, 0.0099, 0.0561, 0.0132, 0.0064, 0.0068, 0.0055, 0.0043, 0.0035, 0.0043, 0.1486, 0.0362, 0.0309, 0.0168, 0.0058, 0.0041, 0.0044, 0.005, 0.003, 0.0015, 0.0, 0.0005, 0.0006, 0.0005]"
Bernie_Nolan,2025-01-15,2025-01-15,98269,278,353.49,True,1,2,0.7432,61,"[1.0, 0.3275, 0.0966, 0.0518, 0.0354, 0.0168, 0.0183, 0.0159, 0.0094, 0.0325, 0.0127, 0.0051, 0.0072, 0.0058, 0.0039, 0.0024, 0.0027, 0.1607, 0.0419, 0.0277, 0.0158, 0.0061, 0.0045, 0.0039, 0.0056, 0.0026, 0.0018, 0.0009, 0.0002, 0.0004, 0.0003]"
