geo,keyword,approx_traffic_text,approx_traffic_lower_bound,pub_date,news_item_count,first_news_title,snapshot_utc
US,samsung galaxy z fold 8,200+,200,"Mon, 13 Jul 2026 21:50:00 -0700",3,Samsung Galaxy Z Fold 8 Leak Shows Usable Closed-Phone Design,2026-07-14T05:09:29+00:00
US,phoenix arizona dust storm,10000+,10000,"Mon, 13 Jul 2026 21:40:00 -0700",3,"Monsoon knocks out power, delays flights in Phoenix metro",2026-07-14T05:09:29+00:00
US,martin freeman,200+,200,"Mon, 13 Jul 2026 21:40:00 -0700",3,‘Hooked straight away’: Martin Freeman and Siobhan Finneran are astonishing in harrowing true crime drama,2026-07-14T05:09:29+00:00
US,ted danson,200+,200,"Mon, 13 Jul 2026 21:20:00 -0700",3,"Ted Danson recalls ‘full on kiss’ with costar Candice Bergen, that Mary Steenburgen says he has ‘fantasies’ about",2026-07-14T05:09:29+00:00
US,doomsday,1000+,1000,"Mon, 13 Jul 2026 21:20:00 -0700",3,"'Avengers: Doomsday' Art: First Look at Doctor Doom Mask, X-Men",2026-07-14T05:09:29+00:00
US,saudi arabia,200+,200,"Mon, 13 Jul 2026 21:20:00 -0700",3,"Houthis fire missiles at Saudi Arabia, breaking years of calm",2026-07-14T05:09:29+00:00
US,tom holland,1000+,1000,"Mon, 13 Jul 2026 21:10:00 -0700",3,Tom Holland (the actor) shared why filming in Imax is so hard in an interview with Tom Holland (the historian),2026-07-14T05:09:29+00:00
US,mindy kaling,2000+,2000,"Mon, 13 Jul 2026 20:50:00 -0700",3,Mindy Kaling’s Gold Accessory Makes Daytime and Nighttime Outfits Better Instantly,2026-07-14T05:09:29+00:00
US,maddox chivan jolie,1000+,1000,"Mon, 13 Jul 2026 20:50:00 -0700",3,Brad Pitt faces fresh family blow as daughter clears major hurdle to drop his last name,2026-07-14T05:09:29+00:00
US,elon musk,2000+,2000,"Mon, 13 Jul 2026 20:50:00 -0700",3,"Apple Sues OpenAI, Accusing It of Stealing Company Secrets",2026-07-14T05:09:29+00:00
GB,hiszpania,2000+,2000,"Mon, 13 Jul 2026 21:30:00 -0700",3,Koundé says Yamal meant no 'lack of respect' in France gibe,2026-07-14T05:09:33+00:00
GB,peter falconio,100+,100,"Mon, 13 Jul 2026 20:30:00 -0700",3,Australian police reveal unseen photos 25 years after British backpacker murder,2026-07-14T05:09:33+00:00
GB,people's postcode lottery,100+,100,"Mon, 13 Jul 2026 20:20:00 -0700",3,"Residents of this Cumbria street won £1,000 on the Postcode Lottery",2026-07-14T05:09:33+00:00
GB,wetter morgen,100+,100,"Mon, 13 Jul 2026 18:50:00 -0700",3,Unwetter sorgen für Tennisballhagel und ein schwimmendes Polizeiauto – und da kommt noch mehr,2026-07-14T05:09:33+00:00
GB,apple iphone 18 pro max,200+,200,"Mon, 13 Jul 2026 18:40:00 -0700",3,Apple’s iPhone 18 Pro Launch Timeline Comes Into Focus,2026-07-14T05:09:33+00:00
GB,reason,200+,200,"Mon, 13 Jul 2026 18:40:00 -0700",3,"In letter, lawmakers seek 'accountability' from WNBA on Clark",2026-07-14T05:09:33+00:00
GB,what is a heat dome,100+,100,"Mon, 13 Jul 2026 18:40:00 -0700",3,58 million Americans under heat alerts as extreme temperatures scorch western U.S.,2026-07-14T05:09:33+00:00
GB,tennis scores today,100+,100,"Mon, 13 Jul 2026 18:30:00 -0700",3,Why Sinner could be primed for another extended stay at World No. 1,2026-07-14T05:09:33+00:00
GB,melhores filmes netflix,200+,200,"Mon, 13 Jul 2026 18:10:00 -0700",3,6 filmes recém-chegados à Netflix para seu fim de semana (11 e 12/07),2026-07-14T05:09:33+00:00
GB,nba standings,200+,200,"Mon, 13 Jul 2026 18:00:00 -0700",3,Labaron Philon Jr. delivering summer delight to the 76ers in Vegas,2026-07-14T05:09:33+00:00
